date,SP500_adjusted,Russell2000_adjusted,lag_SP500,lead_SP500,diff_SP500,lag_Russell,lead_Russell,diff_Russell,positive_score,negative_score,score
2003-01-29,864.359985351562,374.839996337891,NA,866.450012207031,NA,NA,368,NA,2,0,1
2003-03-18,866.450012207031,368,864.359985351562,934.390014648438,8.10195178903296,374.839996337891,412.75,10.113649565809904,2,1,0.3333333333333333
2003-05-06,934.390014648438,412.75,866.450012207031,975.320007324219,12.565063602442928,368,443.209991455078,20.43749767801033,6,3,0.3333333333333333
2003-06-25,975.320007324219,443.209991455078,934.390014648438,990.349975585938,5.988929682489683,412.75,466.950012207031,13.13143845112805,4,2,0.3333333333333333
2003-08-12,990.349975585938,466.950012207031,975.320007324219,1029.31994628906,5.536638083841767,443.209991455078,515.659973144531,16.34664901203976,1,2,-0.3333333333333333
2003-09-16,1029.31994628906,515.659973144531,990.349975585938,1046.7900390625,5.699001854689746,466.950012207031,525.849975585938,12.613762038578239,1,3,-0.5
2003-10-28,1046.7900390625,525.849975585938,1029.31994628906,1060.18005371094,2.9981064228996956,515.659973144531,534.539978027344,3.6613283687080362,2,2,0
2003-12-09,1060.18005371094,534.539978027344,1046.7900390625,1128.47998046875,7.803851618554863,525.849975585938,583.909973144531,11.04117148506067,2,2,0
2004-01-28,1128.47998046875,583.909973144531,1060.18005371094,1110.69995117188,4.76521863282615,534.539978027344,566.640014648438,6.00517041579478,2,2,0
2004-03-16,1110.69995117188,566.640014648438,1128.47998046875,1119.55004882812,-0.7913238865718,583.909973144531,569.640014648438,-2.4438627789220737,1,5,-0.6666666666666666
2004-05-04,1119.55004882812,569.640014648438,1110.69995117188,1140.83996582031,2.713605471633432,566.640014648438,591.52001953125,4.390795609139678,2,0,1
2004-06-30,1140.83996582031,591.52001953125,1119.55004882812,1079.0400390625,-3.6184188288878665,569.640014648438,529.830017089844,-6.9886237860525515,3,0,1
2004-08-10,1079.0400390625,529.830017089844,1140.83996582031,1129.30004882812,-1.0115281141901733,591.52001953125,576.919982910156,-2.4682235831449586,4,1,0.6
2004-09-21,1129.30004882812,576.919982910156,1079.0400390625,1162.91003417969,7.772649028858892,529.830017089844,609.609985351562,15.05765352818613,5,0,1
2004-11-10,1162.91003417969,609.609985351562,1129.30004882812,1203.38000488281,6.559811640100708,576.919982910156,643.539978027344,11.547527749192684,4,0,1
2004-12-14,1203.38000488281,643.539978027344,1162.91003417969,1193.18994140625,2.6038047945746094,609.609985351562,631.97998046875,3.6695585135940942,5,0,1
2005-02-02,1193.18994140625,631.97998046875,1203.38000488281,1171.7099609375,-2.6317575343454505,643.539978027344,618.580017089844,-3.8785408505638252,4,0,1
2005-03-22,1171.7099609375,618.580017089844,1193.18994140625,1161.17004394531,-2.6835540888990836,631.97998046875,584.47998046875,-7.516060867112984,4,0,1
2005-05-03,1161.17004394531,584.47998046875,1171.7099609375,1191.32995605469,1.6744754052864579,618.580017089844,639.659973144531,3.407797774305623,3,1,0.5
2005-06-30,1191.32995605469,639.659973144531,1161.17004394531,1231.38000488281,6.04648400151174,584.47998046875,660.47998046875,13.003011658166356,3,0,1
2005-08-09,1231.38000488281,660.47998046875,1191.32995605469,1221.33996582031,2.519034261927209,639.659973144531,660.630004882812,3.278309198431406,5,0,1
2005-09-20,1221.33996582031,660.630004882812,1231.38000488281,1202.76000976562,-2.324221199280701,660.47998046875,643.02001953125,-2.643526140657355,5,7,-0.16666666666666666
2005-11-01,1202.76000976562,643.02001953125,1221.33996582031,1267.43005371094,3.773731244410209,660.630004882812,689.030029296875,4.298930445809948,3,2,0.2
2005-12-13,1267.43005371094,689.030029296875,1202.76000976562,1280.07995605469,6.428543155848457,643.02001953125,733.200012207031,14.024445575041444,2,1,0.3333333333333333
2006-01-31,1280.07995605469,733.200012207031,1267.43005371094,1293.22998046875,2.035609514092691,689.030029296875,751.27001953125,9.03298660261414,2,0,1
2006-03-28,1293.22998046875,751.27001953125,1280.07995605469,1322.84997558594,3.3411990656482633,733.200012207031,775.940002441406,5.829240251336311,4,1,0.6
2006-05-10,1322.84997558594,775.940002441406,1293.22998046875,1272.86999511719,-1.5743514811016233,751.27001953125,714.320007324219,-4.918339777499139,3,1,0.5
2006-06-29,1272.86999511719,714.320007324219,1322.84997558594,1271.47998046875,-3.8832820096954905,775.940002441406,687.469970703125,-11.40165882154809,3,1,0.5
2006-08-08,1271.47998046875,687.469970703125,1272.86999511719,1325.18005371094,4.109615184144076,714.320007324219,734.47998046875,2.8222607427794917,1,1,0
2006-09-20,1325.18005371094,734.47998046875,1271.47998046875,1382.21997070312,8.70953471037303,687.469970703125,767.150024414062,11.590332248176967,0,0,NA
2006-10-25,1382.21997070312,767.150024414062,1325.18005371094,1411.56005859375,6.5183598742614315,734.47998046875,788.409973144531,7.342608935557718,0,1,-1
2006-12-12,1411.56005859375,788.409973144531,1382.21997070312,1438.23999023438,4.052901905531233,767.150024414062,800.340026855469,4.326403100457042,0,1,-1
2007-01-31,1438.23999023438,800.340026855469,1411.56005859375,1435.0400390625,1.6634064080944353,788.409973144531,807.469970703125,2.417523649856203,2,0,1
2007-03-21,1435.0400390625,807.469970703125,1438.23999023438,1512.57995605469,5.168815102144068,800.340026855469,834.77001953125,4.301920623794895,0,2,-1
2007-05-09,1512.57995605469,834.77001953125,1435.0400390625,1505.7099609375,4.924595826689831,807.469970703125,839.039978027344,3.909743825733679,0,3,-1
2007-06-28,1505.7099609375,839.039978027344,1512.57995605469,1476.7099609375,-2.371444562226703,834.77001953125,774.130004882812,-7.264277972331739,2,2,0
